YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI,Albedo_linear,Albedo_spline,skin_temperature_max_C,skin_temperature_min_C,NDBaI_linear,NDBaI_spline,NDBI_linear,NDBI_spline,NDVI_original,NDWI_linear,NDWI_spline
2014,1,29,19.7,10.4,85,1,140,26.6,0.097841856,0.097841856,26.66234741,13.29718933,0.260883633,0.260883633,-0.092123675,-0.092123675,0.120088889,-0.527632305,-0.527632305
2014,1,30,19,10,89,1,140,22.9,0.098585366,0.266316474,28.00530396,12.83846436,0.255555432,0.227529874,-0.093564663,-0.137824672,0.017022222,-0.525403729,-0.407054589
2014,1,31,20.8,9,92,1,160,21.9,0.099328877,0.266339424,28.64463196,12.98856506,0.25022723,0.227603476,-0.095005651,-0.137861286,0.533022222,-0.523175153,-0.406901289
2014,2,1,23,15,91,4,110,23.1,0.100072388,0.266362362,27.91091309,16.96637878,0.244899029,0.227677005,-0.096446639,-0.137897858,0.137944444,-0.520946577,-0.406748155
2014,2,2,22.6,14.8,84,3,140,24,0.100815899,0.266385289,28.7381073,16.4150177,0.239570827,0.227750463,-0.097887627,-0.13793439,0.172744444,-0.518718001,-0.406595187
2014,2,3,22.8,13.6,91,2,140,23.1,0.101559409,0.266408203,28.47469482,18.35846863,0.234242626,0.227823849,-0.099328616,-0.137970881,0.276651852,-0.516489426,-0.406442386
2014,2,4,24.3,13.5,85,2,140,24.4,0.10230292,0.266431105,28.12589417,17.01833496,0.228914424,0.227897162,-0.100769604,-0.138007331,0.215181481,-0.51426085,-0.406289751
2014,2,5,22.4,14.2,92,2,180,21.2,0.103046431,0.266453995,28.63709412,15.74198303,0.223586223,0.227970404,-0.102210592,-0.13804374,0.1203,-0.512032274,-0.406137283
2014,2,6,23,10.5,87,1,140,23.2,0.103789941,0.266476874,30.24468384,16.51767883,0.218258022,0.228043573,-0.10365158,-0.138080108,0.141040741,-0.509803698,-0.40598498
2014,2,7,25.8,14.5,85,1,110,25.8,0.104533452,0.104533452,29.6533905,18.32735596,0.21292982,0.21292982,-0.105092569,-0.105092569,0.236596296,-0.507575122,-0.507575122
2014,2,8,23.8,14.4,88,1,160,23.9,0.103257296,0.266522594,30.1057373,17.19783936,0.214963786,0.228189697,-0.104985421,-0.138152722,0.076918519,-0.506393868,-0.405680874
2014,2,9,23.8,14,84,1,160,23.8,0.101981139,0.266545437,30.87682495,17.19489441,0.216997753,0.228262651,-0.104878273,-0.138188968,0.232088889,-0.505212614,-0.40552907
2014,2,10,23.8,13.2,85,1,270,24.1,0.100704983,0.266568267,29.27356873,17.4381958,0.219031719,0.228335533,-0.104771125,-0.138225173,0.348459259,-0.504031359,-0.405377431
2014,2,11,22.6,12.2,89,1,320,24,0.099428826,0.266591086,29.45018921,16.93209229,0.221065685,0.228408343,-0.104663977,-0.138261337,0.301248148,-0.502850105,-0.405225959
2014,2,12,22.1,11.5,91,0,0,22.6,0.09815267,0.266613892,28.63123474,15.50330505,0.223099651,0.228481082,-0.104556829,-0.138297461,0.452566667,-0.501668851,-0.405074652
2014,2,13,21.8,11.9,87,1,160,22.5,0.096876513,0.266636687,28.00814209,14.58179626,0.225133617,0.228553749,-0.104449681,-0.138333544,0.408244444,-0.500487597,-0.40492351
2014,2,14,21.6,10.7,84,1,110,23.3,0.095600357,0.095600357,28.14759216,15.44425354,0.227167584,0.227167584,-0.104342533,-0.104342533,0.607092593,-0.499306342,-0.499306342
2014,2,15,22.4,11.6,88,2,160,21.8,0.097437122,0.26668224,27.33425293,15.16861877,0.220796357,0.228698868,-0.103412916,-0.138405588,0.04592963,-0.499697998,-0.404621724
2014,2,16,21.2,12.4,84,2,110,24.7,0.099273887,0.266704999,28.7512146,15.01525269,0.21442513,0.22877132,-0.102483299,-0.138441548,0.1263,-0.500089654,-0.404471079
2014,2,17,20.4,13,92,1,110,22.5,0.101110653,0.266727746,29.17261658,16.23919067,0.208053903,0.2288437,-0.101553681,-0.138477469,0.083614815,-0.500481309,-0.4043206
