date,NDBaI_original,NDBaI_linear,NDBaI_spline
2014-01-01,,0.024532655505054145,0.06593823929175663
2014-01-02,,0.024532655505054145,0.06573119663686948
2014-01-03,,0.024532655505054145,0.06552444175186381
2014-01-04,,0.024532655505054145,0.06531797448004625
2014-01-05,,0.024532655505054145,0.06511179466472354
2014-01-06,0.024532655505054145,0.024532655505054145,0.024532655505054145
2014-01-07,,0.02494895348903908,0.06470029677678933
2014-01-08,,0.025365251473024014,0.06449497839079124
2014-01-09,,0.025781549457008952,0.06428994683451475
2014-01-10,,0.026197847440993887,0.06408520195126656
2014-01-11,,0.026614145424978822,0.06388074358435333
2014-01-12,,0.02703044340896376,0.0636765715770818
2014-01-13,,0.027446741392948695,0.06347268577275864
2014-01-14,,0.02786303937693363,0.06326908601469056
2014-01-15,,0.028279337360918564,0.0630657721461842
2014-01-16,,0.0286956353449035,0.06286274401054631
2014-01-17,,0.029111933328888437,0.06266000145108358
2014-01-18,,0.02952823131287337,0.06245754431110266
2014-01-19,,0.029944529296858306,0.0622553724339103
2014-01-20,,0.030360827280843244,0.062053485662813136
2014-01-21,,0.03077712526482818,0.06185188384111789
2014-01-22,0.031193423248813114,0.031193423248813114,0.031193423248813114
2014-01-23,,0.013910246211554914,0.06144953441915995
2014-01-24,,-0.0033729308257032867,0.06124878650551061
2014-01-25,,-0.020656107862961487,0.06104832291448997
2014-01-26,,-0.03793928490021969,0.06084814348940472
2014-01-27,,-0.055222461937477894,0.06064824807356153
2014-01-28,,-0.07250563897473608,0.06044863651026712
2014-01-29,,-0.08978881601199429,0.060249308642828174
2014-01-30,,-0.1070719930492525,0.06005026431455136
2014-01-31,,-0.1243551700865107,0.05985150336874342
2014-02-01,,-0.1416383471237689,0.059653025648710986
2014-02-02,,-0.1589215241610271,0.05945483099776081
2014-02-03,,-0.1762047011982853,0.05925691925919957
2014-02-04,,-0.1934878782355435,0.05905929027633393
2014-02-05,,-0.21077105527280168,0.058861943892470604
2014-02-06,,-0.22805423231005992,0.058664879950916314
2014-02-07,-0.2453374093473181,-0.2453374093473181,-0.2453374093473181
2014-02-08,,-0.22528200040532959,0.058271598767961466
2014-02-09,,-0.2052265914633411,0.05807538121317433
2014-02-10,,-0.1851711825213526,0.05787944547392298
2014-02-11,,-0.16511577357936408,0.05768379139351408
2014-02-12,,-0.14506036463737557,0.05748841881525438
2014-02-13,,-0.12500495569538705,0.057293327582450496
2014-02-14,,-0.10494954675339857,0.05709851753840919
2014-02-15,,-0.08489413781141006,0.056903988526437126
2014-02-16,,-0.06483872886942155,0.056709740389841
2014-02-17,,-0.044783319927433035,0.05651577297192749
2014-02-18,,-0.02472791098544455,0.056322086116003305
2014-02-19,,-0.004672502043456039,0.056128679665375165
2014-02-20,,0.015382906898532472,0.05593555346334972
