date,Albedo_original,Albedo_linear,Albedo_spline,station
2014-01-01,,0.8558682388045835,0.386521788400713,NAIA
2014-01-02,,0.8558682388045835,0.38642664701510326,NAIA
2014-01-03,,0.8558682388045835,0.38633154691916133,NAIA
2014-01-04,,0.8558682388045835,0.38623648811288736,NAIA
2014-01-05,,0.8558682388045835,0.3861414705962811,NAIA
2014-01-06,0.8558682388045835,0.8558682388045835,0.8558682388045835,NAIA
2014-01-07,,0.8160017654199561,0.38595155943207216,NAIA
2014-01-08,,0.7761352920353286,0.38585666578446937,NAIA
2014-01-09,,0.7362688186507013,0.38576181342653454,NAIA
2014-01-10,,0.6964023452660738,0.3856670023582674,NAIA
2014-01-11,,0.6565358718814464,0.3855722325796681,NAIA
2014-01-12,,0.616669398496819,0.3854775040907367,NAIA
2014-01-13,,0.5768029251121916,0.3853828168914731,NAIA
2014-01-14,,0.5369364517275641,0.3852881709818773,NAIA
2014-01-15,,0.49706997834293665,0.3851935663619494,NAIA
2014-01-16,,0.45720350495830925,0.38509900303168926,NAIA
2014-01-17,,0.41733703157368185,0.38500448099109696,NAIA
2014-01-18,,0.3774705581890544,0.38491000024017247,NAIA
2014-01-19,,0.33760408480442694,0.3848155607789159,NAIA
2014-01-20,,0.2977376114197996,0.384721162607327,NAIA
2014-01-21,,0.25787113803517214,0.3846268057254061,NAIA
2014-01-22,0.2180046646505447,0.2180046646505447,0.2180046646505447,NAIA
2014-01-23,,0.21358517407405017,0.3844382158305676,NAIA
2014-01-24,,0.20916568349755565,0.38434398281765014,NAIA
2014-01-25,,0.20474619292106114,0.3842497910944005,NAIA
2014-01-26,,0.20032670234456662,0.3841556406608186,NAIA
2014-01-27,,0.1959072117680721,0.3840615315169046,NAIA
2014-01-28,,0.1914877211915776,0.3839674636626584,NAIA
2014-01-29,,0.18706823061508304,0.38387343709808003,NAIA
2014-01-30,,0.18264874003858855,0.3837794518231696,NAIA
2014-01-31,,0.178229249462094,0.3836855078379268,NAIA
2014-02-01,,0.17380975888559952,0.3835916051423519,NAIA
2014-02-02,,0.16939026830910497,0.38349774373644496,NAIA
2014-02-03,,0.16497077773261046,0.3834039236202057,NAIA
2014-02-04,,0.16055128715611594,0.3833101447936343,NAIA
2014-02-05,,0.15613179657962142,0.38321640725673073,NAIA
2014-02-06,,0.1517123060031269,0.383122711009495,NAIA
2014-02-07,0.1472928154266324,0.1472928154266324,0.1472928154266324,NAIA
2014-02-08,,0.19959851291252753,0.38293544238402705,NAIA
2014-02-09,,0.25190421039842265,0.38284187000579484,NAIA
2014-02-10,,0.3042099078843178,0.38274833891723037,NAIA
2014-02-11,,0.35651560537021293,0.3826548491183338,NAIA
2014-02-12,,0.40882130285610807,0.38256140060910504,NAIA
2014-02-13,,0.46112700034200316,0.38246799338954407,NAIA
2014-02-14,,0.5134326978278984,0.38237462745965106,NAIA
2014-02-15,,0.5657383953137934,0.3822813028194257,NAIA
2014-02-16,,0.6180440927996886,0.38218801946886827,NAIA
2014-02-17,,0.6703497902855837,0.3820947774079787,NAIA
2014-02-18,,0.7226554877714789,0.3820015766367569,NAIA
2014-02-19,,0.774961185257374,0.3819084171552028,NAIA
2014-02-20,,0.8272668827432692,0.38181529896331673,NAIA
2014-02-21,,0.8795725802291643,0.38172222206109846,NAIA
2014-02-22,,0.9318782777150595,0.38162918644854793,NAIA
2014-02-23,0.9841839752009546,0.9841839752009546,0.9841839752009546,NAIA
2014-02-24,,0.9743110757386335,0.3814432390924505,NAIA
2014-02-25,,0.9644381762763126,0.38135032734890345,NAIA
2014-02-26,,0.9545652768139915,0.3812574568950243,NAIA
2014-02-27,,0.9446923773516704,0.38116462773081294,NAIA
2014-02-28,,0.9348194778893494,0.38107183985626936,NAIA
2014-03-01,,0.9249465784270283,0.3809790932713938,NAIA
2014-03-02,,0.9150736789647074,0.38088638797618585,NAIA
2014-03-03,,0.9052007795023863,0.38079372397064587,NAIA
2014-03-04,,0.8953278800400652,0.3807011012547737,NAIA
2014-03-05,,0.8854549805777443,0.38060851982856925,NAIA
2014-03-06,,0.8755820811154232,0.38051597969203266,NAIA
2014-03-07,,0.8657091816531022,0.38042348084516403,NAIA
2014-03-08,,0.8558362821907811,0.38033102328796303,NAIA
2014-03-09,,0.8459633827284601,0.38023860702043005,NAIA
2014-03-10,,0.8360904832661391,0.38014623204256487,NAIA
2014-03-11,0.826217583803818,0.826217583803818,0.826217583803818,NAIA
2014-03-12,,0.8115023424611812,0.3799616059558378,NAIA
2014-03-13,,0.7967871011185444,0.3798693548469761,NAIA
2014-03-14,,0.7820718597759077,0.3797771450277822,NAIA
2014-03-15,,0.7673566184332709,0.37968497649825605,NAIA
2014-03-16,,0.7526413770906341,0.3795928492583978,NAIA
2014-03-17,,0.7379261357479973,0.37950076330820737,NAIA
2014-03-18,,0.7232108944053603,0.37940871864768466,NAIA
2014-03-19,,0.7084956530627236,0.37931671527683,NAIA
2014-03-20,,0.6937804117200868,0.379224753195643,NAIA
2014-03-21,,0.67906517037745,0.3791328324041238,NAIA
2014-03-22,,0.6643499290348132,0.37904095290227263,NAIA
2014-03-23,,0.6496346876921764,0.3789491146900891,NAIA
2014-03-24,,0.6349194463495396,0.3788573177675734,NAIA
2014-03-25,,0.6202042050069028,0.3787655621347257,NAIA
2014-03-26,,0.605488963664266,0.37867384779154567,NAIA
2014-03-27,0.5907737223216292,0.5907737223216292,0.5907737223216292,NAIA
2014-03-28,,0.5950411659035875,0.37849054297418916,NAIA
2014-03-29,,0.5993086094855457,0.3783989525000126,NAIA
