date,NDBaI_original,NDBaI_linear,NDBaI_spline
2014-01-01,,-0.006647135789845,-0.0306171240022373
2014-01-02,,-0.006647135789845,-0.0307680038972135
2014-01-03,,-0.006647135789845,-0.0309186363179028
2014-01-04,,-0.006647135789845,-0.03106902140089
2014-01-05,,-0.006647135789845,-0.0312191592827602
2014-01-06,-0.006647135789845,-0.006647135789845,-0.006647135789845
2014-01-07,,-0.0204949929643443,-0.0315186939894891
2014-01-08,,-0.0343428501388436,-0.0316680910875177
2014-01-09,,-0.0481907073133429,-0.0318172415307689
2014-01-10,,-0.0620385644878421,-0.0319661454558278
2014-01-11,,-0.0758864216623414,-0.0321148029992793
2014-01-12,,-0.0897342788368407,-0.0322632142977082
2014-01-13,,-0.10358213601134,-0.0324113794876996
2014-01-14,,-0.1174299931858392,-0.0325592987058384
2014-01-15,,-0.1312778503603385,-0.0327069720887094
2014-01-16,,-0.1451257075348378,-0.0328543997728977
2014-01-17,,-0.1589735647093371,-0.0330015818949882
2014-01-18,,-0.1728214218838363,-0.0331485185915657
2014-01-19,,-0.1866692790583356,-0.0332952099992154
2014-01-20,,-0.2005171362328349,-0.033441656254522
2014-01-21,,-0.2143649934073342,-0.0335878574940705
2014-01-22,-0.2282128505818334,-0.2282128505818334,-0.2282128505818334
2014-01-23,,-0.2232774565300623,-0.0338795254722332
2014-01-24,,-0.2183420624782911,-0.0340249924840171
2014-01-25,,-0.21340666842652,-0.0341702150263827
2014-01-26,,-0.2084712743747488,-0.034315193235915
2014-01-27,,-0.2035358803229777,-0.0344599272491987
2014-01-28,,-0.1986004862712065,-0.034604417202819
2014-01-29,,-0.1936650922194354,-0.0347486632333607
2014-01-30,,-0.1887296981676642,-0.0348926654774087
2014-01-31,,-0.1837943041158931,-0.0350364240715481
2014-02-01,,-0.1788589100641219,-0.0351799391523636
2014-02-02,,-0.1739235160123508,-0.0353232108564404
2014-02-03,,-0.1689881219605796,-0.0354662393203632
2014-02-04,,-0.1640527279088085,-0.0356090246807171
2014-02-05,,-0.1591173338570373,-0.035751567074087
