date,NDBaI_original,NDBaI_linear,NDBaI_spline
2014-01-01,,-0.12925522653355223,-0.5462129414373953
2014-01-02,,-0.12925522653355223,-0.5464928150164505
2014-01-03,,-0.12925522653355223,-0.5467722661020773
2014-01-04,,-0.12925522653355223,-0.5470512949143355
2014-01-05,,-0.12925522653355223,-0.5473299016732852
2014-01-06,-0.12925522653355223,-0.12925522653355223,-0.12925522653355223
2014-01-07,,-0.1571097510596364,-0.5478858499114991
2014-01-08,,-0.1849642755857206,-0.5481631918308838
2014-01-09,,-0.21281880011180476,-0.5484401125772
2014-01-10,,-0.24067332463788893,-0.5487166123705078
2014-01-11,,-0.2685278491639731,-0.5489926914308677
2014-01-12,,-0.29638237369005727,-0.5492683499783392
2014-01-13,,-0.32423689821614143,-0.5495435882329827
2014-01-14,,-0.3520914227422256,-0.5498184064148582
2014-01-15,,-0.37994594726830977,-0.5500928047440256
2014-01-16,,-0.40780047179439394,-0.5503667834405451
2014-01-17,,-0.4356549963204781,-0.5506403427244766
2014-01-18,,-0.4635095208465624,-0.5509134828158804
2014-01-19,,-0.49136404537264655,-0.5511862039348162
2014-01-20,,-0.5192185698987307,-0.5514585063013445
2014-01-21,,-0.5470730944248149,-0.5517303901355246
2014-01-22,,-0.574927618950899,-0.5520018556574173
2014-01-23,,-0.6027821434769832,-0.5522729030870824
2014-01-24,,-0.6306366680030674,-0.55254353264458
2014-01-25,,-0.6584911925291516,-0.55281374454997
2014-01-26,,-0.6863457170552357,-0.5530835390233125
2014-01-27,,-0.7142002415813199,-0.5533529162846677
2014-01-28,,-0.7420547661074041,-0.5536218765540953
2014-01-29,,-0.7699092906334882,-0.5538904200516557
2014-01-30,,-0.7977638151595725,-0.5541585469974089
2014-01-31,,-0.8256183396856567,-0.5544262576114146
2014-02-01,,-0.8534728642117408,-0.5546935521137334
2014-02-02,,-0.881327388737825,-0.5549604307244249
2014-02-03,,-0.9091819132639092,-0.5552268936635495
2014-02-04,,-0.9370364377899933,-0.5554929411511668
2014-02-05,,-0.9648909623160775,-0.5557585734073373
2014-02-06,,-0.9927454868421617,-0.5560237906521206
2014-02-07,-1.0206000113682459,-1.0206000113682459,-1.0206000113682459
2014-02-08,,-1.003767616148004,-0.5565529809877671
2014-02-09,,-0.9869352209277621,-0.55681695451875
2014-02-10,,-0.9701028257075202,-0.5570805139185864
2014-02-11,,-0.9532704304872782,-0.5573436594073358
2014-02-12,,-0.9364380352670363,-0.5576063912050587
2014-02-13,,-0.9196056400467945,-0.5578687095318149
2014-02-14,,-0.9027732448265525,-0.5581306146076647
2014-02-15,,-0.8859408496063106,-0.5583921066526679
2014-02-16,,-0.8691084543860688,-0.5586531858868845
2014-02-17,,-0.8522760591658268,-0.558913852530375
2014-02-18,,-0.8354436639455849,-0.5591741068031989
2014-02-19,,-0.8186112687253431,-0.5594339489254166
2014-02-20,,-0.8017788735051011,-0.5596933791170879
2014-02-21,,-0.7849464782848592,-0.5599523975982732
2014-02-22,,-0.7681140830646174,-0.5602110045890323
2014-02-23,-0.7512816878443754,-0.7512816878443754,-0.7512816878443754
2014-02-24,,-0.7346632262432612,-0.5607269849795118
2014-02-25,,-0.718044764642147,-0.5609843588193528
2014-02-26,,-0.7014263030410327,-0.5612413220490076
2014-02-27,,-0.6848078414399185,-0.5614978748885365
2014-02-28,,-0.6681893798388042,-0.5617540175579997
2014-03-01,,-0.65157091823769,-0.5620097502774568
2014-03-02,,-0.6349524566365756,-0.5622650732669682
2014-03-03,,-0.6183339950354614,-0.562519986746594
2014-03-04,,-0.6017155334343471,-0.562774490936394
2014-03-05,,-0.5850970718332329,-0.5630285860564286
2014-03-06,,-0.5684786102321187,-0.5632822723267574
2014-03-07,,-0.5518601486310044,-0.5635355499674406
2014-03-08,,-0.5352416870298902,-0.5637884191985383
2014-03-09,,-0.5186232254287759,-0.5640408802401107
2014-03-10,,-0.5020047638276617,-0.5642929333122179
2014-03-11,,-0.48538630222654744,-0.5645445786349196
2014-03-12,,-0.4687678406254332,-0.5647958164282757
2014-03-13,,-0.45214937902431895,-0.565046646912347
2014-03-14,,-0.4355309174232047,-0.5652970703071928
2014-03-15,,-0.41891245582209047,-0.5655470868328735
2014-03-16,,-0.40229399422097617,-0.5657966967094491
2014-03-17,,-0.3856755326198619,-0.5660459001569799
2014-03-18,,-0.3690570710187477,-0.5662946973955255
2014-03-19,,-0.35243860941763344,-0.5665430886451461
2014-03-20,,-0.3358201478165192,-0.5667910741259017
2014-03-21,,-0.31920168621540496,-0.5670386540578527
2014-03-22,,-0.3025832246142907,-0.5672858286610587
2014-03-23,,-0.2859647630131764,-0.5675325981555801
2014-03-24,,-0.2693463014120622,-0.5677789627614768
2014-03-25,,-0.25272783981094793,-0.5680249226988089
2014-03-26,,-0.2361093782098337,-0.5682704781876361
2014-03-27,-0.2194909166087195,-0.2194909166087195,-0.2194909166087195
2014-03-28,,-0.24103025225196797,-0.5687603767000171
2014-03-29,,-0.26256958789521645,-0.5690047201636911
2014-03-30,,-0.28410892353846495,-0.5692486600591004
2014-03-31,,-0.30564825918171346,-0.5694921966063055
2014-04-01,,-0.32718759482496196,-0.569735330025366
2014-04-02,,-0.3487269304682104,-0.5699780605363425
2014-04-03,,-0.3702662661114589,-0.5702203883592946
2014-04-04,,-0.39180560175470736,-0.5704623137142827
2014-04-05,,-0.41334493739795586,-0.5707038368213666
2014-04-06,,-0.43488427304120436,-0.5709449579006065
2014-04-07,,-0.45642360868445286,-0.5711856771720621
2014-04-08,,-0.4779629443277013,-0.5714259948557942
2014-04-09,,-0.4995022799709498,-0.5716659111718619
2014-04-10,,-0.5210416156141984,-0.571905426340326
2014-04-11,,-0.5425809512574468,-0.5721445405812461
2014-04-12,-0.5641202869006953,-0.5641202869006953,-0.5641202869006953
2014-04-13,,-0.5803818319519084,-0.572621567160695
2014-04-14,,-0.5966433770031215,-0.5728594799393438
2014-04-15,,-0.6129049220543348,-0.5730969926706893
2014-04-16,,-0.6291664671055479,-0.5733341055747911
2014-04-17,,-0.645428012156761,-0.5735708188717091
2014-04-18,,-0.6616895572079742,-0.5738071327815037
2014-04-19,,-0.6779511022591873,-0.574043047524235
2014-04-20,,-0.6942126473104004,-0.5742785633199629
2014-04-21,,-0.7104741923616137,-0.5745136803887472
2014-04-22,,-0.7267357374128268,-0.5747483989506484
2014-04-23,,-0.74299728246404,-0.5749827192257262
2014-04-24,,-0.7592588275152531,-0.5752166414340412
2014-04-25,,-0.7755203725664663,-0.5754501657956524
2014-04-26,,-0.7917819176176795,-0.5756832925306209
