date,NDWI_original,NDWI_linear,NDWI_spline
2014-01-01,,-0.18302575194143217,-0.2456827080729015
2014-01-02,,-0.18302575194143217,-0.24567654360254235
2014-01-03,,-0.18302575194143217,-0.24567038365257457
2014-01-04,,-0.18302575194143217,-0.24566422822257197
2014-01-05,,-0.18302575194143217,-0.2456580773121082
2014-01-06,-0.18302575194143217,-0.18302575194143217,-0.18302575194143217
2014-01-07,,-0.18837826944118208,-0.245645789048093
2014-01-08,,-0.19373078694093201,-0.2456396516936891
2014-01-09,,-0.19908330444068195,-0.24563351885711965
2014-01-10,,-0.20443582194043186,-0.2456273905379582
2014-01-11,,-0.20978833944018177,-0.24562126673577864
2014-01-12,,-0.2151408569399317,-0.24561514745015497
2014-01-13,,-0.22049337443968164,-0.2456090326806609
2014-01-14,,-0.22584589193943155,-0.24560292242687023
2014-01-15,,-0.23119840943918146,-0.24559681668835687
2014-01-16,,-0.2365509269389314,-0.24559071546469455
2014-01-17,,-0.24190344443868134,-0.24558461875545715
2014-01-18,,-0.24725596193843125,-0.24557852656021856
2014-01-19,,-0.25260847943818115,-0.24557243887855254
2014-01-20,,-0.25796099693793106,-0.24556635571003288
2014-01-21,,-0.26331351443768103,-0.24556027705423356
2014-01-22,-0.26866603193743094,-0.26866603193743094,-0.26866603193743094
2014-01-23,,-0.2693976956619346,-0.24554813327909084
2014-01-24,,-0.2701293593864383,-0.24554206815889526
2014-01-25,,-0.27086102311094196,-0.24553600754971514
2014-01-26,,-0.2715926868354457,-0.2455299514511244
2014-01-27,,-0.27232435055994936,-0.24552389986269701
2014-01-28,,-0.27305601428445303,-0.24551785278400656
2014-01-29,,-0.2737876780089567,-0.24551181021462704
2014-01-30,,-0.2745193417334604,-0.2455057721541323
2014-01-31,,-0.27525100545796405,-0.24549973860209603
2014-02-01,,-0.2759826691824677,-0.2454937095580921
2014-02-02,,-0.2767143329069714,-0.2454876850216945
2014-02-03,,-0.27744599663147507,-0.24548166499247687
2014-02-04,,-0.2781776603559788,-0.2454756494700131
2014-02-05,,-0.27890932408048247,-0.2454696384538771
2014-02-06,,-0.27964098780498614,-0.24546363194364249
2014-02-07,-0.2803726515294898,-0.2803726515294898,-0.2803726515294898
2014-02-08,,-0.2767282524058028,-0.24545163243917334
2014-02-09,,-0.27308385328211576,-0.24544563944408632
2014-02-10,,-0.26943945415842874,-0.24543965095319617
2014-02-11,,-0.2657950550347417,-0.24543366696607677
2014-02-12,,-0.2621506559110547,-0.24542768748230182
2014-02-13,,-0.25850625678736766,-0.2454217125014452
2014-02-14,,-0.25486185766368064,-0.24541574202308078
2014-02-15,,-0.2512174585399936,-0.2454097760467823
2014-02-16,-0.24757305941630656,-0.24757305941630656,-0.24757305941630656
2014-02-17,,-0.250077565016438,-0.24539785759867874
2014-02-18,,-0.25258207061656945,-0.24539190512602124
2014-02-19,,-0.2550865762167009,-0.24538595715372505
2014-02-20,,-0.2575910818168323,-0.2453800136813641
2014-02-21,,-0.2600955874169638,-0.24537407470851205
2014-02-22,,-0.26260009301709525,-0.2453681402347428
2014-02-23,-0.2651045986172267,-0.2651045986172267,-0.2651045986172267
2014-02-24,,-0.26427819161127136,-0.24535628478274812
2014-02-25,,-0.26345178460531604,-0.24535036380367034
2014-02-26,,-0.26262537759936067,-0.2453444473219706
2014-02-27,,-0.26179897059340534,-0.24533853533722288
2014-02-28,,-0.26097256358745,-0.24533262784900087
2014-03-01,,-0.2601461565814947,-0.24532672485687862
2014-03-02,,-0.2593197495755394,-0.24532082636042973
2014-03-03,,-0.258493342569584,-0.2453149323592281
2014-03-04,,-0.2576669355636287,-0.2453090428528476
2014-03-05,,-0.25684052855767336,-0.245303157840862
2014-03-06,,-0.25601412155171804,-0.24529727732284526
2014-03-07,,-0.2551877145457627,-0.24529140129837107
2014-03-08,,-0.2543613075398074,-0.2452855297670133
2014-03-09,,-0.253534900533852,-0.2452796627283458
2014-03-10,,-0.2527084935278967,-0.24527380018194242
2014-03-11,-0.2518820865219414,-0.2518820865219414,-0.2518820865219414
2014-03-12,,-0.25247256813993424,-0.24526208856422313
2014-03-13,,-0.2530630497579271,-0.24525623949205502
2014-03-14,,-0.25365353137591995,-0.24525039491044626
2014-03-15,,-0.2542440129939128,-0.2452445548189707
2014-03-16,,-0.25483449461190566,-0.24523871921720228
2014-03-17,,-0.2554249762298985,-0.2452328881047147
2014-03-18,,-0.25601545784789137,-0.24522706148108178
2014-03-19,,-0.2566059394658842,-0.2452212393458776
2014-03-20,-0.2571964210838771,-0.2571964210838771,-0.2571964210838771
2014-03-21,,-0.2562629568213219,-0.24520960853905002
2014-03-22,,-0.2553294925587667,-0.2452037998665744
2014-03-23,,-0.2543960282962115,-0.24519799568082268
2014-03-24,,-0.25346256403365636,-0.24519219598136865
2014-03-25,,-0.25252909977110116,-0.24518640076778622
2014-03-26,,-0.25159563550854597,-0.24518061003964903
2014-03-27,-0.2506621712459908,-0.2506621712459908,-0.2506621712459908
2014-03-28,,-0.2420783082190985,-0.2451690420380062
2014-03-29,,-0.23349444519220627,-0.24516326476364822
2014-03-30,,-0.224910582165314,-0.24515749197303086
2014-03-31,,-0.21632671913842177,-0.245151723665728
2014-04-01,,-0.2077428561115295,-0.24514595984131352
2014-04-02,,-0.19915899308463725,-0.24514020049936122
2014-04-03,,-0.190575130057745,-0.24513444563944498
2014-04-04,,-0.18199126703085278,-0.24512869526113854
2014-04-05,-0.1734074040039605,-0.1734074040039605,-0.1734074040039605
2014-04-06,,-0.18361662241790147,-0.24511720794765046
