date,dewpoint_temperature_2m_C,skin_temperature_C,soil_temperature_level_1_C,soil_temperature_level_2_C,temperature_2m_C,lake_bottom_temperature_C,lake_ice_depth,lake_ice_temperature_C,soil_temperature_level_3_C,soil_temperature_level_4_C,lake_mix_layer_depth,lake_mix_layer_temperature_C,lake_shape_factor,lake_total_layer_temperature_C,snow_albedo,snow_cover,snow_density,snow_depth_cm,snow_depth_water_equivalent_cm,snowfall_sum_mm,skin_reservoir_content,snowmelt_sum_mm,temperature_of_snow_layer_C,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,forecast_albedo,surface_latent_heat_flux_sum_mm,surface_net_solar_radiation_sum_mm,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,evaporation_from_bare_soil_sum_mm,surface_net_thermal_radiation_sum_mm,surface_sensible_heat_flux_sum_mm,surface_solar_radiation_downwards_sum_mm,surface_thermal_radiation_downwards_sum_mm,evaporation_from_open_water_surfaces_excluding_oceans_sum_mm,evaporation_from_the_top_of_canopy_sum_mm,evaporation_from_vegetation_transpiration_sum_mm,potential_evaporation_sum_mm,runoff_sum_mm,snow_evaporation_sum_mm,sub_surface_runoff_sum_mm,surface_runoff_sum_mm,total_evaporation_sum_mm,u_component_of_wind_10m_kmh,leaf_area_index_high_vegetation,leaf_area_index_low_vegetation,surface_pressure_hPa,total_precipitation_sum_mm,v_component_of_wind_10m_kmh,dewpoint_temperature_2m_max_C,dewpoint_temperature_2m_min_C,skin_temperature_min_C,temperature_2m_max_C,temperature_2m_min_C,skin_temperature_max_C,soil_temperature_level_1_max_C,soil_temperature_level_1_min_C,soil_temperature_level_2_max_C,soil_temperature_level_2_min_C,lake_bottom_temperature_min_C,soil_temperature_level_3_max_C,soil_temperature_level_3_min_C,soil_temperature_level_4_max_C,soil_temperature_level_4_min_C,lake_bottom_temperature_max_C,lake_ice_depth_max,lake_ice_depth_min,lake_ice_temperature_max_C,lake_ice_temperature_min_C,lake_mix_layer_depth_max,lake_mix_layer_depth_min,lake_mix_layer_temperature_max_C,lake_mix_layer_temperature_min_C,lake_shape_factor_min,lake_shape_factor_max,lake_total_layer_temperature_max_C,lake_total_layer_temperature_min_C,snow_albedo_max,snow_albedo_min,snow_cover_max,snow_cover_min,snow_density_max,snow_density_min,snow_depth_min_cm,snow_depth_max_cm,snow_depth_water_equivalent_max_cm,snow_depth_water_equivalent_min_cm,snowfall_max,snowfall_min,skin_reservoir_content_min,snowmelt_max,snowmelt_min,temperature_of_snow_layer_max_C,temperature_of_snow_layer_min_C,skin_reservoir_content_max,volumetric_soil_water_layer_1_max,volumetric_soil_water_layer_1_min,volumetric_soil_water_layer_2_max,volumetric_soil_water_layer_2_min,forecast_albedo_min,volumetric_soil_water_layer_3_max,volumetric_soil_water_layer_3_min,volumetric_soil_water_layer_4_max,volumetric_soil_water_layer_4_min,forecast_albedo_max,surface_latent_heat_flux_max,surface_latent_heat_flux_min,surface_net_solar_radiation_max,surface_net_solar_radiation_min,surface_net_thermal_radiation_max,surface_net_thermal_radiation_min,surface_sensible_heat_flux_max,surface_sensible_heat_flux_min,surface_solar_radiation_downwards_min,evaporation_from_bare_soil_max_mm,evaporation_from_bare_soil_min_mm,surface_solar_radiation_downwards_max,surface_thermal_radiation_downwards_max,surface_thermal_radiation_downwards_min,evaporation_from_open_water_surfaces_excluding_oceans_max_mm,evaporation_from_open_water_surfaces_excluding_oceans_min_mm,evaporation_from_the_top_of_canopy_max_mm,evaporation_from_the_top_of_canopy_min_mm,evaporation_from_vegetation_transpiration_min_mm,evaporation_from_vegetation_transpiration_max_mm,potential_evaporation_max_mm,potential_evaporation_min_mm,runoff_max_mm,runoff_min_mm,snow_evaporation_max_mm,snow_evaporation_min_mm,sub_surface_runoff_max_mm,sub_surface_runoff_min_mm,surface_runoff_min_mm,surface_runoff_max_mm,total_evaporation_max_mm,total_evaporation_min_mm,u_component_of_wind_10m_max_kmh,u_component_of_wind_10m_min_kmh,surface_pressure_max_hPa,surface_pressure_min_hPa,total_precipitation_min_mm,v_component_of_wind_10m_max_kmh,v_component_of_wind_10m_min_kmh,leaf_area_index_high_vegetation_max,leaf_area_index_high_vegetation_min,leaf_area_index_low_vegetation_max,leaf_area_index_low_vegetation_min,total_precipitation_max_mm
2024-01-01,24.256410738718614,26.67616507349544,27.323784650258403,27.302937325127743,26.889880734267592,26.426991239040035,-4.0657591807964073e-19,-3.662109372726263e-05,27.37766641209737,27.479034266483325,21.138455544158422,26.68891139041898,0.724750927883944,26.566792703532542,0.8800005316734314,0,99.99998474121094,-7.3453647229951e-22,-7.345364920210326e-23,0,0.0003428354912953411,0,0.00990511576338804,0.3660129483083455,0.3535372736356813,0.12992698900464128,-10857082992.805754,15709937597.122305,0.35539555721145744,0.3972038708144812,-2.092491731503242,-3159868129.496403,-1067763798.5611511,18050063136.69065,36349945467.6259,-0.3756186154356106,-1.5067456008719027,-0.3665897311816971,-7.619869580371774,1.1214113278354672,0.0,1.0100427827389122,0.11137599567715213,-4.341445910148055,-7.071621874253527,4.550925238812856,3.1540736283043884,995.1331103164345,3.1301417581303475,-1.071322129613204,25.285478155561577,23.703469958408334,24.184620962897668,29.143312566743532,25.228988252269346,30.74669821759784,30.009589589070913,25.59283835870764,27.845979803071657,26.719923653362514,26.381761114545895,27.389965842267657,27.360532626145243,27.480889563251765,27.477313847164453,26.449642746740153,0.0,-3.469447779134227e-18,0.0015502929687727374,-0.0008300781249772626,22.259330035971217,20.189024561600718,26.740293039006303,26.597630606452356,0.723350959287273,0.7255418030478115,26.599148142423587,26.505173322279745,0.8800005316734314,0.8800005316734314,0,0,99.99998474121094,99.99998474121094,-7.3453647229951e-22,-7.3453647229951e-22,-7.345364920210326e-23,-7.345364920210326e-23,0,0,6.0397086383627374e-05,0,0,0.010675048828147737,0.009149169921897737,0.0006045864211569588,0.370473189319638,0.3628455511957622,0.35461151342597796,0.3522406927973247,0.12992044358695154,0.3560964460853193,0.35515940275123653,0.39745039905575535,0.3970156882306655,0.13007753361150515,-3819.9424460431655,-1406664.5395683455,2376523.7410071944,0.0,-103176.48920863311,-178968.27517985614,291702.7895683453,-422833.1870503597,-1.0071942446043167,0.0,-0.36271806746024465,2730573.0,1572774.7410071944,1471855.8129496404,0.0,-0.07156045142587998,0.009153259368680364,-0.3758747073681021,-0.02335357017439904,-0.009106676489543573,-0.001527154617172351,-1.054324879706335,0.0701570789591014,0.04187161973912082,2.3283064365386963e-07,-2.3283064365386963e-07,0.04250245343009345,0.04175219604437301,3.752090948091137e-06,0.028001586739107864,-0.0015271345166851292,-0.5624857178400103,-2.368954270177608,-10.412418546608027,996.50424207509,993.2502371852519,0.00024763800257401495,3.386321450651979,-4.650917964358983,4.5511465827338125,4.545834328630845,3.1542134456497304,3.1508578293615113,0.8215686614564855
2024-01-02,24.269123478073084,26.70212740452172,27.331267284146406,27.339554645346254,26.794942707638143,26.46249233035445,-4.452571065705165e-19,2.4414062522737368e-05,27.375157091429003,27.47773329005264,20.962755967101312,26.748081242037642,0.7251926484725458,26.613181178689842,0.8800005316734314,0,99.99998474121094,-7.3453647229951e-22,-7.345364920210326e-23,0,9.294666296286549e-05,0,0.010051981608114602,0.35698684857046004,0.35175488149519446,0.12976989898008767,-10561481122.302158,16262076705.03597,0.3543779386890878,0.3967373251057358,-2.3906467107238534,-3163640978.417267,-1919443769.7841728,18686089640.287773,36365626841.726616,-0.44946291102029445,-1.0162893173505934,-0.366841677388699,-7.889022876461633,1.0429751529968043,2.3283064365386963e-07,0.9912464687292526,0.051706386127060265,-4.223240385327837,-5.97004641526037,4.556178580085151,3.1573703317619346,995.3081234660709,1.5218824362355925,-1.540763086209194,25.12353366330376,23.467799168868055,23.905321563062103,29.37972093760544,24.82489413254558,30.6278296161899,30.034378973871696,25.37093000892264,27.889638382067858,26.741157520760794,26.416678493143024,27.388333481164352,27.359526973148093,27.47924852988706,27.476327185322077,26.48406833127251,0.0,-3.469447779134227e-18,0.0007568359375227374,-0.0008300781249772626,21.5521301708633,20.361988534172657,26.798816532711385,26.659132967063897,0.7242815807568941,0.7255418030478115,26.644393196380406,26.548971096560308,0.8800005316734314,0.8800005316734314,0,0,99.99998474121094,99.99998474121094,-7.3453647229951e-22,-7.3453647229951e-22,-7.345364920210326e-23,-7.345364920210326e-23,0,0,3.958134342440593e-05,0,0,0.010888671875022737,0.009378051757835237,0.0003863270763013003,0.3634205550598584,0.3536323163149168,0.35441885749213137,0.35067760000983594,0.12976335356239793,0.35519793393800586,0.3541310262337005,0.397000429441603,0.39654277554518885,0.12992044358695154,-16800.906474820145,-1507095.5323741008,2475167.6330935257,0.0,-87312.93525179858,-189272.928057554,92825.61151079136,-485164.928057554,0.0,0.0,-0.4056962257210943,2843850.553956834,1558890.4208633094,1481041.6043165468,0.0,-0.08337560324199338,0.003595012340614264,-0.23679226794340413,-0.030567568874241204,-0.008142379065640538,-0.0067184136497031016,-1.147551073444833,0.05968839680548196,0.041035868281083146,2.3283064365386963e-07,-1.4551915228366852e-08,0.041729844302582225,0.04097588842721294,0.0,0.018171242458357228,-0.006717984839309034,-0.6026452266537458,-0.25156913043783724,-12.42079480946493,996.6367873201439,993.588548223921,0.0,1.2383495879687854,-4.660769894826327,4.5563973625786875,4.5511465827338125,3.1575075876798566,3.1542134456497304,0.5361007915126333
2024-01-03,23.72937980761634,26.905463987574592,27.45830217814273,27.392933228490506,26.90493071668152,26.49196835890666,-3.7721209200856223e-19,0.00017700195314773737,27.37856229878156,27.475314799430066,21.265619145308747,26.790897184596133,0.7251838535713634,26.652749084911818,0.8800005316734314,0,99.99998474121094,-7.3453647229951e-22,-7.345364920210326e-23,0,0.00010403055402872374,0,0.010054524739587123,0.3471916756755729,0.34706879119507134,0.12960554648311343,-11122588028.776978,16648755050.359715,0.35306047306929844,0.39625210842068537,-2.8509618915456665,-3414757309.352518,-1743224517.9856117,19125153266.18705,36201468762.589935,-0.5184558702619385,-0.5671265300550906,-0.5110674236210988,-8.977329988273787,1.0213017892494476,0.0,0.9720636893519397,0.04924555047810506,-4.44761334697334,-5.755637798720984,4.561546343979504,3.160664473792061,995.3289281933829,1.3751677899743973,-5.1078040472895125,25.090372692080734,22.99071688206078,24.443275221131728,29.29380341673925,25.287192958035916,31.125856621831474,30.216535433762488,25.6421826479247,27.926098874318598,26.766884278221994,26.456921298898408,27.391794042793208,27.361839283456106,27.47734458429352,27.473686317059673,26.518493915804925,0.0,-3.469447779134227e-18,0.0011230468750227374,-0.00046386718747726263,21.91458239658273,20.828209307553948,26.84701235105672,26.728883416704207,0.7244006871319503,0.7255418030478115,26.69111363253154,26.60298413612867,0.8800005316734314,0.8800005316734314,0,0,99.99998474121094,99.99998474121094,-7.3453647229951e-22,-7.3453647229951e-22,-7.345364920210326e-23,-7.345364920210326e-23,0,0,2.259873657775438e-05,0,0,0.010720825195335237,0.009484863281272737,0.00019234268785380627,0.3542525476688962,0.34478024270037094,0.35107059615979097,0.34561760991597346,0.12959868530575322,0.3540929341487748,0.3527047136704699,0.39652751675612635,0.39605471384611063,0.12976335356239793,-32409.410071942446,-1462324.8920863313,2579225.1007194244,0.0,-103806.37410071945,-203010.6007194245,128437.61151079138,-536871.237410072,-0.9928057553956835,-6.194970161794759e-05,-0.44794562574234803,2963423.741007195,1567990.8489208636,1458612.7194244608,-0.00021142362476252822,-0.08285291352235585,0.0010446290210854238,-0.0924951034236244,-0.030542812611666522,-0.013504096929975553,-0.012695038918968586,-1.214817032325182,0.052339417471302496,0.040162381508367526,2.3283064365386963e-07,-2.3283064365386963e-07,0.040946032503525985,0.040169778487665196,-3.698489648832692e-06,0.011784888857560192,-0.01295983603746771,-0.5847425719307695,-1.788377808495391,-11.064715971363537,997.3095247864211,993.9539902765289,0.0,-1.3718971746430981,-8.91777311366239,4.561770212736061,4.5563973625786875,3.160801729709982,3.1575075876798566,0.3387056451907261
2024-01-04,23.78894426542513,27.09269352370893,27.585741992648593,27.468581067458103,27.040936342417808,26.50057768238537,-5.491597803011852e-19,9.26504895915059e-06,27.389435649661493,27.472846415860545,23.034151584982006,26.777047912451337,0.7255418030478115,26.66458595330772,0.8800005316734314,0,99.99998474121094,-7.3453647229951e-22,-7.345364920210326e-23,0,7.300263793348404e-05,0,0.00995676054373007,0.33816310598981764,0.3415437693790281,0.1294481406988893,-11561002920.86331,16725243079.136692,0.3515618413472347,0.3957525934818552,-2.959552787163918,-3675600071.942446,-1279881956.8345325,19208029611.510796,36017059021.58273,-0.5560246624534937,-0.4950969366075324,-0.6122474136541216,-10.523591002972006,0.9948231762261701,2.3283064365386963e-07,0.9529676368768267,0.04185918423769285,-4.62292086520641,-10.379026349842977,4.566802210087398,3.1639586158221866,995.90536882213,1.3227106856496047,-3.161436392763536,24.42532462799295,23.195527264711757,24.901639145226852,29.191040302523618,25.208676828068803,30.52514400344961,30.0199989373736,26.03885254345363,27.954652788999397,26.868940548245007,26.473895219761744,27.404199548076406,27.371892629939055,27.474616005437895,27.471256107906697,26.52431113702795,0.0,-6.938894731087841e-18,0.0008789062500227374,-0.0011962890624772626,23.92651191546762,21.923926483812945,26.821354752135846,26.71979225213579,0.7255418030478115,0.7255418030478115,26.69938982407831,26.62536779170415,0.8800005316734314,0.8800005316734314,0,0,99.99998474121094,99.99998474121094,-7.3453647229951e-22,-7.3453647229951e-22,-7.345364920210326e-23,-7.345364920210326e-23,0,0,9.821902076117315e-06,0,0,0.010720825195335237,0.009088134765647737,0.00020311226090081303,0.34541232980412545,0.334510528784004,0.3458211336204474,0.34007965746543395,0.12944159528119958,0.35267419609234485,0.351140852454755,0.3960394550570482,0.3955513933579699,0.12959868530575322,-47358.02877697842,-1442836.3525179855,2420480.424460432,0.0,-105692.4964028777,-203351.56115107916,115242.31654676261,-486263.6115107914,-2.0,-0.002877177040782764,-0.40283551935454925,2779694.2589928056,1542656.8453237412,1458787.1726618705,-0.0009698016073206346,-0.08160146891320352,-0.00010570846230006047,-0.08022618185219575,-0.03939144323385663,-0.014704377423945092,-0.04768752151255985,-1.262928647317475,0.045288380959051126,0.039595172559614665,2.3283064365386963e-07,-2.3283064365386963e-07,0.040151125235523256,0.039374924820961714,0.0,0.0054964916311579645,-0.01893699731972578,-0.5769497436879995,-7.121225261002137,-15.578388022004274,997.3280732913669,994.031171593975,0.0,-1.6009644378003456,-6.439027783510496,4.567020992580935,4.561770212736061,3.164095871740108,3.160801729709982,0.17597971202658239
2024-01-05,23.99434674946815,27.175097150368117,27.700269523455972,27.57733679206541,27.12257692899641,26.506298008468264,-4.2478710059621405e-19,5.493164064773737e-05,27.412236118087947,27.47132130080854,23.757826551258987,26.776088035821374,0.7251924983889078,26.672652473724213,0.8800005316734314,0,99.99998474121094,-7.3453647229951e-22,-7.345364920210326e-23,0,0.00011327548278607337,0,0.010049584843898174,0.3370477461414658,0.33672573354890317,0.1292836865705016,-11715380920.863312,16561678633.093525,0.3500478456346251,0.39525785834955085,-2.6836877507861145,-3481606446.043166,-1142192115.1079137,19018161525.17986,36270306165.46763,-0.5018925193777617,-0.9104688953367069,-0.5886035857440757,-10.252305929609342,1.003128911951463,-2.3283064365386963e-07,0.9343833160057344,0.0687419510573792,-4.684653454761712,-10.55059106847365,4.572111902762946,3.167252757852312,996.674989496684,2.2030531716861312,-4.321174064814616,24.680210514205896,23.439103973169154,25.177868015646084,29.341301063153423,25.506654303022458,30.982313021653,30.320602900004303,26.201203534243007,28.04980626826665,27.01754260166092,26.473895219761744,27.429841558881833,27.390707924383207,27.47279197637988,27.469681708246696,26.532805123089076,0.0,-6.938894731087841e-18,0.0007873535156477374,-0.0007080078124772626,24.42666647931654,23.265540692446034,26.82616028271144,26.71684148774733,0.7242815807568941,0.7255418030478115,26.710588677495593,26.626351379833636,0.8800005316734314,0.8800005316734314,0,0,99.99998474121094,99.99998474121094,-7.3453647229951e-22,-7.3453647229951e-22,-7.345364920210326e-23,-7.345364920210326e-23,0,0,2.9246369711786682e-05,0,0,0.010888671875022737,0.009347534179710237,0.0002120791150511598,0.3409334910001686,0.3348170218707846,0.34004870078546545,0.3357391357421875,0.12927682097438428,0.3511027603698291,0.34963023233756746,0.3955361345689074,0.39505564737663,0.12944159528119958,-69388.47482014389,-1404569.0503597122,2464522.129496403,0.0,-100993.86330935251,-195601.85611510795,146075.3669064748,-484790.17266187054,-0.9928057553956835,-0.00362422839879132,-0.40804709495453967,2830438.906474821,1558656.4788669064,1481411.8561151081,-0.0014893456007079257,-0.07893711080600462,-0.002572346451899988,-0.16456694097640062,-0.032901280666802,-0.015666480544659734,-0.10280533553027421,-1.1818636771586302,0.04748532401143219,0.038930945259204014,1.4551915228366852e-08,-2.3283064365386963e-07,0.03935251947787169,0.03861362556759402,3.350081203652801e-05,0.008182050727254198,-0.02774664890959109,-0.5616478859815452,-7.91135921341052,-13.475438047999102,998.04514051259,995.0637488758994,0.0011082068621683467,-1.865361538893885,-6.717826557845522,4.572333246683903,4.567020992580935,3.167390013770234,3.164095871740108,0.26913483044226394
2024-01-06,23.76388158546655,27.090594630618796,27.617303841863134,27.578430672515253,26.965993540921716,26.499091176277773,-1.245774017366992e-18,9.26504895915059e-06,27.43875650181758,27.47066016437344,25.230544860986207,26.745295579942365,0.725533008146629,26.66229515898999,0.8800005316734314,0,99.99998474121094,-7.3453647229951e-22,-7.345364920210326e-23,0,5.653913286950088e-05,0,0.010023371378622414,0.33133318327027833,0.33278472589360153,0.12911901746516963,-10871641769.784172,15286975410.071943,0.3485762369718483,0.3947668738788267,-2.563794394754035,-3281020489.208633,-1502847021.5827339,17552953208.633095,36426167812.949646,-0.5043820384219826,-0.5353435994588213,-0.7437460405899466,-11.250157579243613,0.9445698141194075,2.3283064365386963e-07,0.9164508941362229,0.028126316962482262,-4.3472648939962015,-12.259122291743328,4.577365244035241,3.1705468998824378,996.4276355126837,0.9812623476355847,-7.337006037526853,24.919867250730704,23.168441926146613,25.280853205619167,28.72999730830577,25.528312123250657,30.24562000302103,29.8576241253092,26.225533289189002,27.99491304905297,27.13584333460966,26.45838965546318,27.45451359371492,27.41986494544608,27.471976783807406,27.469633626594828,26.532320354653848,0.0,-6.938894731087841e-18,0.0008483886718977374,-0.0006469726562272626,26.24974707733812,24.44338747751798,26.80354478136246,26.66887751517538,0.725330485285615,0.7255418030478115,26.709612114995593,26.604944286758155,0.8800005316734314,0.8800005316734314,0,0,99.99998474121094,99.99998474121094,-7.3453647229951e-22,-7.3453647229951e-22,-7.345364920210326e-23,-7.345364920210326e-23,0,0,1.2825504481363556e-05,0,0,0.010827636718772737,0.009423828125022737,0.00016252728674909193,0.3386299627290356,0.3286270031826102,0.3358985297113872,0.33180148996037545,0.12911215644302987,0.3495845657458409,0.34815002002304407,0.3950328140807667,0.39456758567755174,0.12927682097438428,-108563.6690647482,-1130664.3741007193,2319278.1582733816,0.0,-91154.28776978416,-181755.3633093525,152575.61151079138,-651018.9568345323,0.0,-0.00696856756326106,-0.3403120660792581,2662986.366906475,1583267.7122302158,1483083.525179856,-0.0037570189175417097,-0.064600949182356,-0.0029003127015751907,-0.09865694714495711,-0.037458011706312785,-0.023780146064303766,-0.1701085473136079,-1.0004914064201522,0.0453434830946888,0.037945646176235276,2.3283064365386963e-07,0.0,0.038591220224503994,0.0378746780560171,2.251254568854682e-05,0.007345522050377277,-0.04341158506681593,-0.45212124735652975,-9.668372635875675,-15.64954899849652,998.271817108813,994.4666824977519,0.0019210705654226622,-5.374522784116459,-9.553373147429324,4.577584026528777,4.572333246683903,3.17068415580036,3.167390013770234,0.2565004414502497
2024-01-07,23.596410072564538,27.03328688184706,27.59975398404424,27.555051719427695,27.10041870647774,26.467996032861265,-1.0866023404304036e-18,-0.00021972656247726263,27.456658043621303,27.470454692154476,27.145263086405873,26.677203178863238,0.7254014148128977,26.619468677987356,0.8800005316734314,0,99.99998474121094,-7.3453647229951e-22,-7.345364920210326e-23,0,6.63379506527377e-05,0,0.00988618864437285,0.3362792172877909,0.3298185014610382,0.128961611836166,-12354501151.079138,15373586215.827341,0.3471337919898457,0.39427783792253307,-2.406921200856245,-3286517741.0071945,-240256402.87769786,17651595338.129498,36388538453.23741,-0.5247535773640056,-1.1817762534395395,-0.8267688719059925,-12.75969746944716,0.9933804436553297,0.0,0.8989969710651919,0.09438717107978657,-4.940219679110343,-13.831547672628501,4.582674095098921,3.1738410419125636,996.613193687238,3.0607215362889955,-6.890950911679713,23.891925334244377,23.17543264704642,25.498845864714553,28.699159185835015,25.883957172640862,29.390673454888486,29.48570420519053,26.314199587595624,27.938183176603275,27.1356808669276,26.428334012477535,27.469969649280586,27.44190225944243,27.472490423188844,27.468836876299747,26.496447490445178,0.0,-6.938894731087841e-18,0.0011840820312727374,-0.0016235351562272626,28.07430305755395,26.286631632194236,26.725869421650202,26.607347052045895,0.7247003741401564,0.7255418030478115,26.659969016973946,26.563577380283334,0.8800005316734314,0.8800005316734314,0,0,99.99998474121094,99.99998474121094,-7.3453647229951e-22,-7.3453647229951e-22,-7.345364920210326e-23,-7.345364920210326e-23,0,0,6.195023763093987e-06,0,0,0.010812377929710237,0.009180236377346773,0.0003952720611215496,0.34345184984824645,0.3293167224033274,0.33175538426680534,0.32901549853866907,0.12895506641847623,0.3480966691490558,0.3467312819666142,0.39454464260622757,0.39407952397847346,0.12911215644302987,-104427.45323741008,-1538175.6618705038,2176509.071942446,0.0,-108968.18030575539,-174829.4784172662,137932.71942446043,-365926.1223021583,0.0,-0.006707009973285868,-0.34083622899710486,2499084.971223022,1563063.381294964,1482575.2877697845,-0.0037198899675616264,-0.0780780168196602,-0.0008589172695609305,-0.36997514904188594,-0.04858913724210195,-0.026470834134722787,-0.18867946785988568,-1.2193931092461237,0.07927460636166361,0.03727391469392845,0.0,0.0,0.03784482213233015,0.03715443739788138,1.5008363792364549e-05,0.04163309395742074,-0.04175760977559811,-0.6150733126769606,-10.606639834616683,-18.70231090518211,998.445576382644,995.027256070144,0.0006153429154869464,-4.805476582479135,-10.264608814047396,4.582895402428058,4.577584026528777,3.173978297830486,3.17068415580036,1.2460125328825533
2024-01-08,23.897103273496953,27.217931846234478,27.800063261768514,27.711616322176667,27.174310151793122,26.459323478717067,-1.3270188441019436e-19,0.00017700195314773737,27.48193814760208,27.47028184611736,27.1272921116232,26.66532371758848,0.724896653521833,26.608639328771403,0.8800005316734314,0,99.99998474121094,-7.3453647229951e-22,-7.345364920210326e-23,0,3.120052121240169e-05,0,0.01005261739095431,0.3239043668019686,0.32617204881114636,0.12879715770777825,-11103342920.863312,17143356028.776978,0.3454701220103019,0.39375544852204175,-3.0736350722396546,-3816806446.0431657,-1955172517.9856117,19673265726.618706,35952479870.50359,-0.5667261316997113,-0.2163703613680044,-0.5831861962302983,-11.123488757678933,0.9024818595364797,2.3283064365386963e-07,0.881010090275634,0.021460352184103547,-4.439917774937994,-10.037877611119114,4.587927399779395,3.17713518394269,996.4676761208221,0.7613754100887044,-4.972982547952118,24.47520538988732,22.85988670733343,25.0249223667941,29.44252600361125,25.484650690092508,30.96517827973952,30.354712770311096,26.14573223745225,28.214273071289085,27.16734592794512,26.426879707171793,27.501695306352644,27.457895885440166,27.4722607729247,27.468681763573557,26.483119871290512,0.0,-8.673625651690161e-19,0.0008483886718977374,-0.0005249023437272626,28.1013517311151,26.514824078237403,26.70934514107472,26.60490915861061,0.7238320502445854,0.7255418030478115,26.642952942333693,26.561631280912877,0.8800005316734314,0.8800005316734314,0,0,99.99998474121094,99.99998474121094,-7.3453647229951e-22,-7.3453647229951e-22,-7.345364920210326e-23,-7.345364920210326e-23,0,0,1.1978818358276692e-06,0,0,0.010552978515647737,0.009255981445335237,0.00014058720293662526,0.3346657512856902,0.32042963041676037,0.32991895058172216,0.3249910203673,0.12879029211166096,0.34667024681036424,0.34500714857801257,0.394064265189411,0.3935456859122078,0.12895506641847623,-44869.12230215827,-1462080.1942446043,2459110.4964028783,-0.9928057553956835,-113912.69064748201,-212549.4748201439,109591.09352517987,-594302.6834532374,-0.9928057553956835,-0.002736289375763145,-0.41359814768322084,2821723.28057554,1542335.3799460432,1462356.3021582735,-0.0009983442991757564,-0.08267081985853131,-1.4020089837286974e-05,-0.06203165465443254,-0.04596961327165152,-0.014158809999767825,-0.0402205925193622,-1.3610212762149976,0.041224116044078794,0.036572488091832445,2.3283064365386963e-07,-1.4551915228366852e-08,0.037132032054791354,0.03639689023546178,-3.698489648832692e-06,0.004345993343874705,-0.017942485513447005,-0.5846448952881553,-5.611932987789456,-16.397750744716728,998.044365445144,995.0640529451439,0.0,-2.6204954902045157,-7.365982695106123,4.588146182272932,4.582895402428058,3.177272439860612,3.173978297830486,0.15570191170671863
2024-01-09,23.773711419963206,27.392179304347167,27.943998664288813,27.80040176812406,27.40134945693353,26.471451471635305,-7.487773838667429e-19,7.030020520915059e-05,27.516220017760247,27.470575756191977,25.30503117037619,26.705668394971553,0.724832597825167,26.62726822448292,0.8800005316734314,0,99.99998474121094,-7.3453647229951e-22,-7.345364920210326e-23,0,4.454829888663986e-05,0,0.01000556945803055,0.31274358259974055,0.32069117045231005,0.1286471116086312,-11357674920.863312,17528789395.683456,0.3436507538354083,0.39321336814825486,-3.2295762299955326,-3687026215.8273387,-1940687884.8920865,20115379913.669064,36174953985.61151,-0.5665310531211415,-0.231363542592354,-0.5141442990024313,-10.855728398552904,0.8823927357900057,2.3283064365386963e-07,0.8627554709962805,0.019663636632960477,-4.541616056034034,-7.698900554849089,4.593237092454942,3.1804293259728156,995.368786544983,0.7197400074949447,-4.490334414749695,24.451252274547585,22.6714794131492,24.97102151774675,29.847239696036183,25.73488001103027,31.583863226801384,30.79185786624612,26.142578388461175,28.322386970794525,27.18908004211869,26.43706686994159,27.538366787039138,27.490220367651204,27.472056261241107,27.469209124887584,26.49379882812508,0.0,-3.469447779134227e-18,0.000849047324663843,-0.0008911132812272626,27.451199977517977,24.482731002697836,26.7519907121179,26.626899378934354,0.7236514696114354,0.7255418030478115,26.659533427945178,26.576736384330104,0.8800005316734314,0.8800005316734314,0,0,99.99998474121094,99.99998474121094,-7.3453647229951e-22,-7.3453647229951e-22,-7.345364920210326e-23,-7.345364920210326e-23,0,0,5.645288837899268e-07,0,0,0.010812377929710237,0.009332275390647737,0.00020783174809792056,0.3234600917898494,0.30896248577310026,0.32502076951719877,0.3192746827928282,0.12864088636936902,0.3449613722108252,0.34314579586330934,0.39353042712314523,0.3929965890568795,0.12879029211166096,-38616.24460431655,-1481421.0791366908,2627124.2086330936,0.0,-94622.37410071945,-220773.81474820146,108588.53237410073,-549355.2805755397,-2.0,-0.0021085545099038877,-0.4714211522728848,3014494.345323741,1553412.9496402878,1476546.5683453237,-0.0008977413606300629,-0.08309576090880864,1.334002335294545e-05,-0.07906419613646518,-0.03525972610888936,-0.011988412990844508,-0.02450538839367654,-1.377095180235321,0.04085705434675698,0.03576664615878099,2.3283064365386963e-07,0.0,0.03637823698331984,0.035643148765289526,-3.698489648832692e-06,0.00521787207761257,-0.015441850899792402,-0.5923792009623787,-2.7825247126517536,-12.36040280568514,997.5045186038669,993.8595309689749,-4.4142762922190675e-06,-1.7010873808277598,-8.26526722530667,4.5934584363759,4.588146182272932,3.1805665818907376,3.177272439860612,0.19194453740291462
