Station,Model_RMSE_1day,Model_MAE_1day,Model_Bias_1day,Model_R2_1day,Model_RMSE_2day,Model_MAE_2day,Model_Bias_2day,Model_R2_2day,PAGASA_RMSE_1day,PAGASA_MAE_1day,PAGASA_Bias_1day,PAGASA_R2_1day,PAGASA_RMSE_2day,PAGASA_MAE_2day,PAGASA_Bias_2day,PAGASA_R2_2day
Ambulong,2.5239312055648044,1.9083446739130432,0.5271025434782609,0.6339779102533681,2.9114941217143957,2.241673782608696,0.7604764565217393,0.4958763533860312,4.333790388382297,3.665217391304347,-3.056521739130435,-0.0791655522140835,4.267585102689301,3.4554347826086955,-2.6228260869565214,-0.08310264080324625
Baguio,1.976335898786694,1.5726159021739128,0.22018540217391308,0.4115205709352764,2.3755470369706906,1.8111669456521737,0.40018005434782605,0.15046276442133855,2.460182920028509,1.8358695652173913,1.2163043478260869,0.08810556454979213,2.8149445897705094,2.139130434782609,1.46304347826087,-0.19287476629130973
Baler,2.2774759532306024,1.7697643152173914,0.26345724999999964,0.6316718831595369,2.876833277838676,2.254743630434782,0.25748641304347814,0.41699666655729295,5.943273508766024,5.175,-4.214130434782609,-1.5082955407792529,6.186582606562857,5.425,-4.440217391304348,-1.6961452343652659
Basco,2.205418113644876,1.597621923913043,0.12835224999999992,0.7394879597677168,3.2493521905405522,2.5402472499999993,0.36876390217391275,0.4508056303132385,2.9000937016346335,2.277173913043479,-1.1293478260869567,0.5495257343977207,3.7004259449302657,2.8184782608695653,-1.1836956521739133,0.28774429186478434
Calapan,1.889892302928929,1.3680874239130432,0.49169564130434823,0.766318455851603,2.302739882769241,1.7594398369565216,0.3402599891304347,0.648774131753939,3.7477964540339657,3.3249999999999997,-2.8141304347826077,0.08102797030630937,4.067340761426957,3.6217391304347823,-2.91086956521739,-0.09576606655318409
Clark,1.6203432035474532,1.2936593586956524,-0.36807596739130427,0.7544949995332533,1.8226839532897248,1.5446979456521739,-0.45259220652173954,0.6848043740269141,3.279995360548151,2.9619565217391304,-2.422826086956522,-0.005987947213794476,3.5637974372729215,3.0260869565217394,-2.082608695652174,-0.20499005951735083
Daet,2.205145921955982,1.6259870543478268,1.1878796847826087,0.7366607625314987,2.5135561077668473,1.919763521739131,0.9104196739130436,0.6716110548587575,3.059589344425447,2.639130434782609,-1.8652173913043475,0.49304759676931453,3.2258803988719245,2.6586956521739125,-1.4282608695652173,0.4591113305477974
Dagupan,1.8928082868547407,1.4297293043478263,0.5888912391304353,0.6792600169222871,1.9415922609076635,1.5225017934782605,0.5870774456521742,0.6722342158783113,4.217175028071671,3.7021739130434774,-3.417391304347825,-0.5921467585599995,4.297800246233152,3.541304347826086,-2.7369565217391303,-0.6059795225881845
Iba,1.6782919085830665,1.257949021739131,-0.43727397826086933,0.7757388402350553,1.8144430913072587,1.3517035543478257,-0.4360168152173909,0.7308007278401117,3.581064330493162,3.027173913043479,-2.6532608695652176,-0.02104129684096967,3.389578016572975,2.8597826086956526,-2.4293478260869565,0.060539667729576085
Infanta,2.171546540173799,1.6949580760869567,0.6714680108695653,0.7724932791618176,2.705386160897551,2.186101293478261,0.7270659239130437,0.6509537892851411,4.051059979378452,3.6152173913043475,-2.9804347826086954,0.20824047917079924,4.226122181817768,3.6184782608695656,-2.792391304347826,0.1482571490147524
Laoag,1.4397366033677526,1.1494286304347825,-0.05604021739130423,0.8413946511672021,1.763305431669574,1.406769510869565,-0.16546998913043473,0.7629527930815196,3.3083885477084904,2.6,-2.306521739130435,0.16250011752207072,3.951196846746455,2.9956521739130433,-2.1239130434782614,-0.19024697113926026
Legazpi,2.7817935820930777,2.0403808043478255,0.10683845652173929,0.5886757323677252,3.0563354459330756,2.2207528913043477,0.26733608695652217,0.4884998787967416,5.96508865053116,5.264130434782609,-4.148913043478261,-0.8913344631033382,5.680458493436261,4.808695652173912,-3.8608695652173917,-0.7668939603706741
NAIA,1.706981605519485,1.311511815217391,-0.28768118478260857,0.7699768915343952,1.9481070980707311,1.5242370869565218,-0.2593411086956516,0.6877954976635584,3.0590208720523915,2.6956521739130435,-2.447826086956521,0.26128202583630766,3.2639166922446172,2.7032608695652165,-2.318478260869565,0.12362166053585377
Port Area,1.4544408610752761,1.1056966086956521,-0.08999039130434801,0.809057023754659,1.7400620345156053,1.3908438260869567,0.031507282608695106,0.7198235898941483,1.9201449220668556,1.5086956521739132,-1.2869565217391306,0.6672028720474044,2.409401874180467,1.8652173913043475,-1.1326086956521741,0.46281906466152656
Puerto Princesa,1.6630541496419389,1.176848945652174,0.15181938043478183,0.502326540486048,2.0343474812452977,1.3942331739130431,0.2845928695652174,0.25675517239288614,5.2798735986187495,4.718478260869565,-3.694565217391304,-4.0162451339325855,5.170663484463597,4.58804347826087,-3.385869565217391,-3.8014694789668413
San Jose,2.7011727971967,2.0169015326086948,0.8400864456521743,0.3129691988287502,3.0898701097331083,2.3041838695652177,1.0521426304347827,0.12058063227148619,6.374635539453967,5.357608695652174,-4.2945652173913045,-2.826327970059799,5.7525325235745175,4.729347826086957,-3.86195652173913,-2.0481318235722576
Sangley Point,1.9158019664743506,1.4047588586956523,0.6167570978260872,0.7064999509936407,2.3472073328328924,1.747433847826087,0.9845510434782605,0.5421175164391895,3.5729661286558176,3.1499999999999995,-2.6369565217391306,-0.02085661431948327,3.771460333011374,3.165217391304347,-2.656521739130435,-0.1821435360694037
Science Garden,1.4941279601075148,1.2366158260869569,-0.12027608695652198,0.7795639059486867,1.7332204366617117,1.4190075108695648,-0.08084064130434815,0.6947878528972036,1.7264250572384743,1.3989130434782608,-0.44673913043478264,0.7056916508462526,2.2681394405413284,1.7141304347826092,-0.0728260869565218,0.47732261122386
Sinait,1.126733901419887,0.9348623586956519,-0.1518837065217385,0.8757124405711362,1.4391127465337683,1.1665974021739125,-0.336731358695652,0.79645430156124,2.8017463498139246,2.3586956521739126,-1.9695652173913036,0.23150231010031574,3.247791892026495,2.555434782608695,-1.6271739130434781,-0.03668944228550264
Tanay,2.290695253785632,1.6939821739130432,-0.049338891304348015,0.5522568452842481,2.5754319706294524,1.9657337608695653,-0.0016006304347827717,0.4177372496575542,3.687242990306608,3.053260869565217,2.71195652173913,-0.16010644695239296,4.412494611402055,3.407608695652174,3.148913043478261,-0.7091777018972967
Tayabas,2.5234336302965787,1.942569358695652,-0.12070411956521766,0.66113583427558,2.8372751676097767,2.1710883913043477,-0.2996506521739131,0.5598935787115564,3.5764933031988315,2.917391304347826,-2.0043478260869567,0.3192985050491026,3.8059592860350624,3.1706521739130427,-1.8902173913043476,0.20807679789254185
Tuguegarao,1.7175140537646456,1.3125197826086958,0.3061174347826094,0.8419643203441576,2.16150063818554,1.7095721956521732,0.32206156521739143,0.7419817311152566,3.0919776983278067,2.5445652173913045,-2.242391304347826,0.48781452843150097,3.210292550667239,2.566304347826087,-1.5076086956521737,0.43084711323075675
Virac Synop,2.7838209919459627,2.22552845652174,0.3215874782608699,0.579443176625638,3.2166152377273867,2.486889815217392,0.5348667065217393,0.42957010881296953,4.5487098027424455,3.7489130434782614,-3.0032608695652177,-0.12284170317485121,4.484550774846229,3.7663043478260865,-2.707608695652174,-0.10877119846068006
