date,NDBI_original,NDBI_linear,NDBI_spline
2014-01-01,,-0.2098696263917499,-0.24673958226523776
2014-01-02,,-0.2098696263917499,-0.24670844920487503
2014-01-03,,-0.2098696263917499,-0.24667732279393614
2014-01-04,,-0.2098696263917499,-0.24664620304265458
2014-01-05,,-0.2098696263917499,-0.2466150899612639
2014-01-06,,-0.2098696263917499,-0.2465839835599979
2014-01-07,,-0.2098696263917499,-0.24655288384909005
2014-01-08,,-0.2098696263917499,-0.24652179083877387
2014-01-09,,-0.2098696263917499,-0.2464907045392832
2014-01-10,,-0.2098696263917499,-0.24645962496085144
2014-01-11,,-0.2098696263917499,-0.24642855211371234
2014-01-12,,-0.2098696263917499,-0.24639748600809952
2014-01-13,,-0.2098696263917499,-0.24636642665424638
2014-01-14,,-0.2098696263917499,-0.24633537406238665
2014-01-15,,-0.2098696263917499,-0.246304328242754
2014-01-16,,-0.2098696263917499,-0.24627328920558203
2014-01-17,,-0.2098696263917499,-0.24624225696110413
2014-01-18,,-0.2098696263917499,-0.2462112315195543
2014-01-19,,-0.2098696263917499,-0.2461802128911657
2014-01-20,,-0.2098696263917499,-0.24614920108617225
2014-01-21,,-0.2098696263917499,-0.24611819611480754
2014-01-22,,-0.2098696263917499,-0.24608719798730505
2014-01-23,,-0.2098696263917499,-0.2460562067138984
2014-01-24,,-0.2098696263917499,-0.24602522230482132
2014-01-25,,-0.2098696263917499,-0.2459942447703073
2014-01-26,,-0.2098696263917499,-0.24596327412059
2014-01-27,,-0.2098696263917499,-0.24593231036590293
2014-01-28,,-0.2098696263917499,-0.24590135351647988
2014-01-29,-0.2098696263917499,-0.2098696263917499,-0.2098696263917499
2014-01-30,,-0.20843943738665438,-0.24583946057435982
2014-01-31,,-0.20700924838155882,-0.24580852450213012
2014-02-01,,-0.20557905937646329,-0.24577759537609875
2014-02-02,,-0.20414887037136772,-0.24574667320649934
2014-02-03,,-0.2027186813662722,-0.24571575800356552
2014-02-04,,-0.20128849236117663,-0.2456848497775308
2014-02-05,,-0.1998583033560811,-0.24565394853862887
2014-02-06,,-0.19842811435098553,-0.24562305429709336
2014-02-07,,-0.19699792534589,-0.24559216706315776
2014-02-08,,-0.19556773634079444,-0.2455612868470558
2014-02-09,,-0.1941375473356989,-0.245530413659021
2014-02-10,,-0.19270735833060335,-0.24549954750928704
2014-02-11,,-0.1912771693255078,-0.2454686884080875
2014-02-12,,-0.18984698032041225,-0.24543783636565597
2014-02-13,,-0.18841679131531672,-0.24540699139222608
2014-02-14,,-0.18698660231022118,-0.24537615349803138
2014-02-15,,-0.18555641330512562,-0.2453453226933056
2014-02-16,,-0.18412622430003006,-0.24531449898828225
2014-02-17,,-0.18269603529493453,-0.24528368239319487
2014-02-18,,-0.181265846289839,-0.24525287291827724
2014-02-19,,-0.17983565728474343,-0.24522207057376277
2014-02-20,,-0.1784054682796479,-0.24519127536988528
2014-02-21,,-0.17697527927455234,-0.24516048731687834
2014-02-22,,-0.1755450902694568,-0.2451297064249753
2014-02-23,,-0.17411490126436124,-0.24509893270441008
2014-02-24,,-0.1726847122592657,-0.2450681661654162
2014-02-25,,-0.17125452325417015,-0.2450374068182271
