date,NDBI_original,NDBI_linear,NDBI_spline
2014-01-01,,-0.13941465183056878,-0.29771353219139896
2014-01-02,,-0.13941465183056878,-0.2977678122103713
2014-01-03,,-0.13941465183056878,-0.2978219981322059
2014-01-04,,-0.13941465183056878,-0.29787609001620885
2014-01-05,,-0.13941465183056878,-0.29793008792168657
2014-01-06,-0.13941465183056878,-0.13941465183056878,-0.13941465183056878
2014-01-07,,-0.15664240724648498,-0.29803780203429214
2014-01-08,,-0.17387016266240118,-0.29809151836003284
2014-01-09,,-0.19109791807831736,-0.29814514094447403
2014-01-10,,-0.20832567349423356,-0.29819866984692206
2014-01-11,,-0.22555342891014976,-0.2982521051266832
2014-01-12,,-0.24278118432606594,-0.2983054468430642
2014-01-13,,-0.26000893974198214,-0.29835869505537127
2014-01-14,,-0.27723669515789834,-0.29841184982291075
2014-01-15,-0.29446445057381454,-0.29446445057381454,-0.29446445057381454
2014-01-16,,-0.29726774692492836,-0.298517879260913
2014-01-17,,-0.30007104327604217,-0.29857075404998845
2014-01-18,,-0.302874339627156,-0.29862353563152194
2014-01-19,,-0.30567763597826986,-0.29867622406482003
2014-01-20,,-0.3084809323293837,-0.298728819409189
2014-01-21,,-0.3112842286804975,-0.29878132172393534
2014-01-22,-0.3140875250316113,-0.3140875250316113,-0.3140875250316113
2014-01-23,,-0.30724208377497214,-0.29888604750178555
2014-01-24,,-0.300396642518333,-0.2989382710835024
2014-01-25,,-0.2935512012616938,-0.29899040187282205
2014-01-26,,-0.28670576000505466,-0.29904243992905105
2014-01-27,,-0.27986031874841555,-0.2990943853114959
2014-01-28,,-0.2730148774917764,-0.29914623807946283
2014-01-29,,-0.2661694362351372,-0.2991979982922584
2014-01-30,,-0.25932399497849806,-0.29924966600918895
2014-01-31,-0.2524785537218589,-0.2524785537218589,-0.2524785537218589
2014-02-01,,-0.25569581192607205,-0.2993527241926806
2014-02-02,,-0.2589130701302852,-0.2994041147778546
2014-02-03,,-0.26213032833449834,-0.29945541310438917
2014-02-04,,-0.26534758653871143,-0.29950661923159067
2014-02-05,,-0.2685648447429246,-0.2995577332187657
2014-02-06,,-0.2717821029471377,-0.29960875512522045
2014-02-07,-0.2749993611513509,-0.2749993611513509,-0.2749993611513509
2014-02-08,,-0.2665532663381274,-0.29971052293319517
2014-02-09,,-0.2581071715249039,-0.29976126895332783
2014-02-10,,-0.24966107671168047,-0.299811923129966
2014-02-11,,-0.241214981898457,-0.299862485522416
2014-02-12,,-0.23276888708523352,-0.29991295618998426
2014-02-13,,-0.22432279227201007,-0.29996333519197715
2014-02-14,,-0.2158766974587866,-0.30001362258770126
2014-02-15,,-0.20743060264556312,-0.3000638184364626
2014-02-16,-0.19898450783233965,-0.19898450783233965,-0.19898450783233965
2014-02-17,,-0.2334059459122927,-0.3001639357303237
2014-02-18,,-0.26782738399224576,-0.300213857294036
2014-02-19,,-0.30224882207219883,-0.3002636875480114
2014-02-20,,-0.33667026015215185,-0.3003134265515564
2014-02-21,,-0.37109169823210497,-0.30036307436397724
2014-02-22,,-0.405513136312058,-0.30041263104458044
2014-02-23,-0.43993457439201106,-0.43993457439201106,-0.43993457439201106
2014-02-24,,-0.438591930474873,-0.3005114712475594
2014-02-25,,-0.4372492865577349,-0.300560754888548
2014-02-26,,-0.4359066426405968,-0.3006099476349445
2014-02-27,,-0.4345639987234587,-0.3006590495460553
2014-02-28,,-0.4332213548063206,-0.3007080606811869
2014-03-01,,-0.4318787108891825,-0.30075698109964577
2014-03-02,,-0.43053606697204444,-0.3008058108607381
2014-03-03,,-0.4291934230549064,-0.3008545500237703
2014-03-04,,-0.42785077913776826,-0.30090319864804904
2014-03-05,,-0.4265081352206302,-0.3009517567928805
2014-03-06,,-0.42516549130349207,-0.30100022451757114
2014-03-07,,-0.423822847386354,-0.30104860188142746
2014-03-08,,-0.4224802034692159,-0.3010968889437557
2014-03-09,,-0.4211375595520778,-0.30114508576386234
2014-03-10,,-0.4197949156349397,-0.3011931924010539
2014-03-11,-0.41845227171780164,-0.41845227171780164,-0.41845227171780164
2014-03-12,,-0.4039662292563163,-0.3012891353639169
2014-03-13,,-0.38948018679483093,-0.30133697180820124
2014-03-14,,-0.3749941443333456,-0.3013847183067961
2014-03-15,,-0.3605081018718603,-0.30143237491900765
2014-03-16,,-0.3460220594103749,-0.30147994170414255
2014-03-17,,-0.33153601694888957,-0.301527418721507
2014-03-18,,-0.31704997448740424,-0.30157480603040754
2014-03-19,,-0.30256393202591886,-0.3016221036901507
2014-03-20,-0.28807788956443353,-0.28807788956443353,-0.28807788956443353
2014-03-21,,-0.3024867743971191,-0.30171643029938977
2014-03-22,,-0.31689565922980467,-0.30176345936749865
2014-03-23,,-0.3313045440624902,-0.3018103990236757
2014-03-24,,-0.3457134288951758,-0.3018572493272272
2014-03-25,,-0.36012231372786135,-0.30190401033745967
2014-03-26,,-0.37453119856054695,-0.30195068211367915
2014-03-27,-0.3889400833932325,-0.3889400833932325,-0.3889400833932325
2014-03-28,,-0.3770690242743724,-0.3020437582013061
2014-03-29,,-0.36519796515551234,-0.30209016263132615
2014-03-30,,-0.35332690603665223,-0.30213647806455907
2014-03-31,,-0.3414558469177921,-0.3021827045603114
2014-04-01,,-0.3295847877989321,-0.3022288421778894
2014-04-02,,-0.31771372868007197,-0.30227489097659954
2014-04-03,,-0.30584266956121187,-0.3023208510157484
2014-04-04,,-0.2939716104423518,-0.3023667223546421
2014-04-05,-0.2821005513234917,-0.2821005513234917,-0.2821005513234917
2014-04-06,,-0.26085524375645963,-0.30245819916889
