date,NDBaI_original,NDBaI_linear,NDBaI_spline
2014-01-01,,0.19617706085171366,0.003385530677753637
2014-01-02,,0.19617706085171366,0.0032622649265254436
2014-01-03,,0.19617706085171366,0.0031391424209626273
2014-01-04,,0.19617706085171366,0.0030161630996277614
2014-01-05,,0.19617706085171366,0.002893326901083424
2014-01-06,0.19617706085171366,0.19617706085171366,0.19617706085171366
2014-01-07,,0.18036728134402108,0.002648083626616632
2014-01-08,,0.16455750183632847,0.0025256764278193317
2014-01-09,,0.14874772232863587,0.0024034121060628596
2014-01-10,,0.1329379428209433,0.0022812905999097946
2014-01-11,,0.1171281633132507,0.002159311847922712
2014-01-12,,0.1013183838055581,0.0020374757886641873
2014-01-13,,0.08550860429786551,0.0019157823606967953
2014-01-14,,0.06969882479017292,0.001794231502583114
2014-01-15,,0.05388904528248034,0.0016728231528857168
2014-01-16,,0.038079265774787735,0.0015515572501671807
2014-01-17,,0.02226948626709513,0.0014304337329900819
2014-01-18,,0.00645970675940255,0.0013094525399169952
2014-01-19,,-0.009350072748290028,0.0011886136095104972
2014-01-20,,-0.025159852255982634,0.0010679168803331622
2014-01-21,,-0.04096963176367524,0.0009473622909475677
2014-01-22,-0.056779411271367805,-0.056779411271367805,-0.056779411271367805
2014-01-23,,-0.07577951420125642,0.000706679285801902
2014-01-24,,-0.09477961713114502,0.0005865507471669828
2014-01-25,,-0.11377972006103362,0.0004665641025741055
2014-01-26,,-0.13277982299092222,0.00034671929058584743
2014-01-27,,-0.15177992592081085,0.00022701624976478448
2014-01-28,,-0.17078002885069946,0.00010745491867349156
2014-01-29,,-0.18978013178058806,-1.196476412545599e-05
2014-01-30,,-0.2087802347104767,-0.00013124286006948018
2014-01-31,,-0.22778033764036526,-0.0002503794305960065
2014-02-01,,-0.2467804405702539,-0.00036937453714245964
2014-02-02,,-0.2657805435001425,-0.0004882282411462642
2014-02-03,,-0.2847806464300311,-0.0006069406040448432
2014-02-04,,-0.3037807493599197,-0.0007255116872756209
2014-02-05,,-0.32278085228980835,-0.0008439415522760225
2014-02-06,,-0.3417809552196969,-0.00096223026048347
2014-02-07,-0.36078105814958555,-0.36078105814958555,-0.36078105814958555
2014-02-08,,-0.32587186486997144,-0.0011983844522692071
2014-02-09,,-0.2909626715903574,-0.0013162500587223425
2014-02-10,,-0.25605347831074327,-0.001433974754132224
