date,NDBaI_original,NDBaI_linear,NDBaI_spline
2024-01-01,,0.17998892958040036,0.1819232678072854
2024-01-02,0.17998892958040036,0.17998892958040036,0.17998892958040036
2024-01-03,,0.18049367707877442,0.17874645850879342
2024-01-04,,0.1809984245771485,0.17721060491462023
2024-01-05,,0.18150317207552255,0.1757094943056028
2024-01-06,,0.18200791957389661,0.1742429083930714
2024-01-07,,0.1825126670722707,0.17281062888835655
2024-01-08,,0.18301741457064477,0.17141243750278853
2024-01-09,,0.18352216206901883,0.17004811594769773
2024-01-10,0.1840269095673929,0.1840269095673929,0.1840269095673929
2024-01-11,,0.18254881562151412,0.16742020917426936
2024-01-12,,0.18107072167563537,0.16615618737859256
2024-01-13,,0.1795926277297566,0.1649251622587145
2024-01-14,,0.17811453378387782,0.1637269155259656
2024-01-15,,0.17663643983799907,0.16256122889167618
2024-01-16,,0.1751583458921203,0.16142788406717667
2024-01-17,,0.17368025194624154,0.16032666276379737
2024-01-18,0.17220215800036276,0.17220215800036276,0.17220215800036276
2024-01-19,,0.17371819398189384,0.15821971756572115
2024-01-20,,0.17523422996342491,0.15721355709368495
2024-01-21,,0.176750265944956,0.15623864698809056
2024-01-22,,0.17826630192648707,0.15529476896026825
2024-01-23,,0.17978233790801817,0.15438170472154855
2024-01-24,,0.18129837388954925,0.1534992359832618
2024-01-25,,0.18281440987108033,0.15264714445673827
2024-01-26,0.1843304458526114,0.1843304458526114,0.1843304458526114
2024-01-27,,0.18406084434415165,0.15103321988430266
2024-01-28,,0.18379124283569193,0.15027095026105133
2024-01-29,,0.18352164132723217,0.14953818469488478
2024-01-30,,0.18325203981877242,0.14883470489713346
2024-01-31,,0.18298243831031266,0.14816029257912766
2024-02-01,,0.1827128368018529,0.1475147294521979
2024-02-02,,0.18244323529339318,0.14689779722767435
2024-02-03,0.18217363378493343,0.18217363378493343,0.18217363378493343
2024-02-04,,0.18117267191245,0.14574895233116789
2024-02-05,,0.18017171003996663,0.14521660308184564
2024-02-06,,0.1791707481674832,0.14471201158025118
2024-02-07,,0.1781697862949998,0.144234959537715
2024-02-08,,0.1771688244225164,0.14378522866556748
2024-02-09,,0.176167862550033,0.14336260067513884
2024-02-10,,0.17516690067754961,0.1429668572777596
2024-02-11,0.1741659388050662,0.1741659388050662,0.1741659388050662
2024-02-12,,0.1740220528552561,0.14225515110747072
2024-02-13,,0.173878166905446,0.14193875175722181
2024-02-14,,0.1737342809556359,0.14164836384534377
2024-02-15,,0.1735903950058258,0.14138376908316697
2024-02-16,,0.17344650905601572,0.1411447491820218
2024-02-17,,0.17330262310620562,0.1409310858532387
2024-02-18,,0.17315873715639551,0.14074256080814793
2024-02-19,0.1730148512065854,0.1730148512065854,0.1730148512065854
2024-02-20,,0.17304307059372137,0.14044005241436508
2024-02-21,,0.1730712899808573,0.1403256324883338
2024-02-22,,0.17309950936799323,0.1402354776913164
2024-02-23,,0.1731277287551292,0.14016936973464322
2024-02-24,,0.17315594814226515,0.14012709032964477
2024-02-25,,0.17318416752940108,0.14010842118765132
