date,NDBI_original,NDBI_linear,NDBI_spline
2014-01-01,,-0.15662434730671598,-0.25332405046621337
2014-01-02,,-0.15662434730671598,-0.25327914526414125
2014-01-03,,-0.15662434730671598,-0.2532342979256941
2014-01-04,,-0.15662434730671598,-0.2531895084244687
2014-01-05,,-0.15662434730671598,-0.253144776734062
2014-01-06,-0.15662434730671598,-0.15662434730671598,-0.15662434730671598
2014-01-07,,-0.16968681244269232,-0.25305548668009265
2014-01-08,,-0.18274927757866863,-0.2530109282637238
2014-01-09,,-0.19581174271464497,-0.2529664275525614
2014-01-10,,-0.2088742078506213,-0.2529219845202023
2014-01-11,,-0.22193667298659764,-0.2528775991402436
2014-01-12,,-0.23499913812257395,-0.2528332713862821
2014-01-13,,-0.24806160325855028,-0.2527890012319147
2014-01-14,,-0.2611240683945266,-0.25274478865073846
2014-01-15,-0.27418653353050293,-0.27418653353050293,-0.27418653353050293
2014-01-16,,-0.28111553056764305,-0.25265653610234673
2014-01-17,,-0.2880445276047831,-0.2526124960823253
2014-01-18,,-0.2949735246419232,-0.2525685135298825
2014-01-19,,-0.30190252167906334,-0.2525245884186155
2014-01-20,,-0.30883151871620346,-0.252480720722121
2014-01-21,,-0.3157605157533435,-0.2524369104139962
2014-01-22,-0.32268951279048363,-0.32268951279048363,-0.32268951279048363
2014-01-23,,-0.3048689752314114,-0.25234946185724294
2014-01-24,,-0.28704843767233906,-0.25230582355580833
2014-01-25,,-0.2692279001132668,-0.2522622425371309
2014-01-26,,-0.2514073625541945,-0.2522187187748078
2014-01-27,,-0.23358682499512223,-0.2521752522424357
2014-01-28,,-0.21576628743604997,-0.2521318429136116
2014-01-29,,-0.1979457498769777,-0.25208849076193257
2014-01-30,,-0.1801252123179054,-0.2520451957609954
2014-01-31,-0.16230467475883312,-0.16230467475883312,-0.16230467475883312
2014-02-01,,-0.1491164420795151,-0.2519587771057344
2014-02-02,,-0.1359282094001971,-0.2519156533986045
2014-02-03,,-0.1227399767208791,-0.2518725867366041
2014-02-04,,-0.1095517440415611,-0.25182957709333026
2014-02-05,,-0.09636351136224308,-0.2517866244423798
2014-02-06,,-0.08317527868292507,-0.25174372875734974
2014-02-07,-0.06998704600360707,-0.06998704600360707,-0.06998704600360707
2014-02-08,,-0.07893436490812238,-0.25165810817943846
2014-02-09,,-0.0878816838126377,-0.2516153832337511
2014-02-10,,-0.096829002717153,-0.2515727151483718
2014-02-11,,-0.1057763216216683,-0.2515301038968975
2014-02-12,,-0.11472364052618363,-0.2514875494529251
2014-02-13,,-0.12367095943069893,-0.25144505179005155
2014-02-14,,-0.13261827833521425,-0.25140261088187393
2014-02-15,,-0.14156559723972956,-0.2513602267019888
2014-02-16,-0.15051291614424486,-0.15051291614424486,-0.15051291614424486
2014-02-17,,-0.19564703807741418,-0.25127562842148454
2014-02-18,,-0.24078116001058353,-0.2512334142680591
2014-02-19,,-0.2859152819437528,-0.25119125673731413
2014-02-20,,-0.33104940387692217,-0.2511491558028465
2014-02-21,,-0.3761835258100915,-0.2511071114382531
2014-02-22,,-0.42131764774326086,-0.2510651236171308
2014-02-23,-0.46645176967643015,-0.46645176967643015,-0.46645176967643015
2014-02-24,,-0.4626832466623129,-0.25098131749968766
2014-02-25,,-0.4589147236481957,-0.2509394991505606
2014-02-26,,-0.45514620063407846,-0.25089773723929243
2014-02-27,,-0.45137767761996117,-0.2508560317394799
2014-02-28,,-0.44760915460584394,-0.2508143826247203
2014-03-01,,-0.4438406315917267,-0.2507727898686102
2014-03-02,,-0.4400721085776095,-0.25073125344474684
2014-03-03,,-0.43630358556349225,-0.2506897733267269
2014-03-04,,-0.432535062549375,-0.25064834948814746
2014-03-05,,-0.4287665395352578,-0.2506069819026054
2014-03-06,,-0.42499801652114055,-0.25056567054369755
2014-03-07,,-0.4212294935070233,-0.250524415385021
2014-03-08,,-0.41746097049290604,-0.25048321640017257
2014-03-09,,-0.4136924474787888,-0.25044207356274917
2014-03-10,,-0.4099239244646716,-0.25040098684634776
2014-03-11,-0.40615540145055434,-0.40615540145055434,-0.40615540145055434
2014-03-12,,-0.3933713471177324,-0.25031898167099864
2014-03-13,,-0.3805872927849105,-0.2502780631592449
2014-03-14,,-0.36780323845208857,-0.2502372006629007
2014-03-15,,-0.3550191841192667,-0.2501963941555632
2014-03-16,,-0.34223512978644477,-0.2501556436108292
2014-03-17,,-0.32945107545362284,-0.25011494900229575
2014-03-18,,-0.3166670211208009,-0.2500743103035597
2014-03-19,,-0.303882966787979,-0.25003372748821795
2014-03-20,-0.29109891245515707,-0.29109891245515707,-0.29109891245515707
2014-03-21,,-0.29697789136036534,-0.24995272940210517
2014-03-22,,-0.30285687026557356,-0.24991231407852793
2014-03-23,,-0.30873584917078184,-0.24987195453273275
2014-03-24,,-0.3146148280759901,-0.24983165073831656
2014-03-25,,-0.3204938069811984,-0.2497914026688762
2014-03-26,,-0.3263727858864066,-0.24975121029800865
2014-03-27,-0.3322517647916149,-0.3322517647916149,-0.3322517647916149
2014-03-28,,-0.3173172757588713,-0.24967099254637976
2014-03-29,,-0.30238278672612773,-0.2496309671128122
2014-03-30,,-0.28744829769338415,-0.24959099727220518
2014-03-31,,-0.27251380866064057,-0.24955108299815562
2014-04-01,,-0.257579319627897,-0.24951122426426034
2014-04-02,,-0.2426448305951534,-0.24947142104411643
2014-04-03,,-0.22771034156240982,-0.24943167331132074
2014-04-04,,-0.21277585252966624,-0.24939198103947013
2014-04-05,-0.19784136349692266,-0.19784136349692266,-0.19784136349692266
